Frequency (Hz)	Level (dB)
195.144653	-80.333687
195.817566	-79.995262
196.490479	-80.179077
197.163391	-80.990913
197.836304	-79.844536
198.509216	-77.141205
199.182129	-69.479721
199.855042	-67.609413
200.527954	-73.720291
201.200867	-79.113853
201.873779	-76.519714
202.546692	-76.863579
203.219604	-77.929123
203.892517	-76.929039
204.565430	-76.674156
205.238342	-75.546120
205.911255	-75.779640
206.584167	-72.972015
207.257080	-70.744713
207.929993	-67.217323
208.602905	-66.890327
209.275818	-69.497246
209.948730	-68.505447
210.621643	-68.984314
211.294556	-71.341103
211.967468	-72.554253
212.640381	-71.046982
213.313293	-70.053078
213.986206	-69.027702
214.659119	-69.657707
215.332031	-69.541222
216.004944	-65.986328
216.677856	-66.259239
217.350769	-67.827019
218.023682	-68.976562
218.696594	-70.876099
219.369507	-71.071617
220.042419	-70.293831
220.715332	-69.403030
221.388245	-68.597763
222.061157	-67.789917
222.734070	-69.388855
223.406982	-66.807808
224.079895	-67.196213
224.752808	-69.286316
225.425720	-71.572029
226.098633	-73.006561
226.771545	-72.939102
227.444458	-72.159897
228.117371	-72.337494
228.790283	-72.960335
229.463196	-72.255562
230.136108	-72.037872
230.809021	-73.035019
231.481934	-74.222733
232.154846	-73.697334
232.827759	-72.944092
233.500671	-74.047501
234.173584	-75.024490
234.846497	-75.413986
235.519409	-75.758614
236.192322	-75.514946
236.865234	-77.218605
237.538147	-78.315918
238.211060	-77.226906
238.883972	-76.679146
239.556885	-77.860352
240.229797	-76.818649
240.902710	-74.366539
241.575623	-75.661835
242.248535	-77.625954
242.921448	-73.207687
243.594360	-69.869850
244.267273	-73.652458
244.940186	-76.677139
245.613098	-77.521652
246.286011	-76.566063
246.958923	-72.403976
247.631836	-70.170883
248.304749	-74.009804
248.977661	-75.643059
249.650574	-76.306801
250.323486	-76.926086
250.996399	-76.385437
251.669312	-77.212273
252.342224	-76.722321
253.015137	-76.316589
253.688049	-76.445511
254.360962	-76.598465
255.033875	-76.246033
255.706787	-76.745003
256.379700	-78.447365
257.052612	-79.321365
257.725525	-77.927979
258.398438	-76.645500
259.071350	-74.550529
259.744263	-65.758965
260.417175	-62.191544
261.090088	-66.992050
261.763000	-77.049255
262.435913	-80.280281
263.108826	-78.822220
263.781738	-78.223381
264.454651	-78.391327
265.127563	-78.507935
265.800476	-79.070541
266.473389	-79.395485
267.146301	-79.452232
267.819214	-77.216705
268.492126	-76.582275
269.165039	-76.772057
269.837952	-76.336800
270.510864	-74.802269
271.183777	-75.097511
271.856689	-75.907707
272.529602	-77.010872
273.202515	-77.520485
273.875427	-76.570145
274.548340	-76.662857
275.221252	-76.832191
275.894165	-77.489716
276.567078	-77.008591
277.239990	-77.222404
277.912903	-76.773659
278.585815	-77.710915
279.258728	-77.600487
279.931641	-77.607269
280.604553	-76.916969
281.277466	-75.346329
281.950378	-75.578583
282.623291	-76.984261
283.296204	-76.413490
283.969116	-75.785049
284.642029	-74.444466
285.314941	-65.608109
285.987854	-62.828217
286.660767	-67.937012
287.333679	-75.708008
288.006592	-76.651596
288.679504	-75.897575
289.352417	-71.384766
290.025330	-70.139961
290.698242	-73.288475
291.371155	-75.560936
292.044067	-76.681168
292.716980	-75.772888
293.389893	-77.588287
294.062805	-78.081757
294.735718	-78.635841
295.408630	-78.222328
296.081543	-78.745193
296.754456	-79.476662
297.427368	-79.687607
298.100281	-79.074219
298.773193	-78.782257
299.446106	-77.358688
300.119019	-74.443169
300.791931	-73.989876
301.464844	-78.472015
302.137756	-84.557518
302.810669	-84.498199
303.483582	-84.079346
304.156494	-83.249962
304.829407	-84.452347
305.502319	-85.009521
306.175232	-83.814308
306.848145	-82.397240
307.521057	-83.494972
308.193970	-84.369644
308.866882	-83.796501
309.539795	-82.493469
310.212708	-80.532768
310.885620	-79.370689
311.558533	-79.723694
312.231445	-81.031654
312.904358	-80.484436
313.577271	-80.953362
314.250183	-82.562012
314.923096	-83.293449
315.596008	-83.772842
316.268921	-83.232697
316.941833	-82.766388
317.614746	-83.311226
318.287659	-83.491570
318.960571	-82.917542
319.633484	-82.501297
320.306396	-81.886383
320.979309	-79.970970
321.652222	-78.190987
322.325134	-79.548019
322.998047	-79.160278
323.670959	-71.911957
324.343872	-63.034904
325.016785	-63.719566
325.689697	-73.125931
326.362610	-78.739372
327.035522	-81.035843
327.708435	-80.801697
328.381348	-81.074318
329.054260	-80.995171
329.727173	-79.935532
330.400085	-77.068909
331.072998	-78.726479
331.745911	-81.852196
332.418823	-80.413826
333.091736	-79.830345
333.764648	-78.574860
334.437561	-73.096832
335.110474	-72.746696
335.783386	-78.209763
336.456299	-79.990616
337.129211	-80.408821
337.802124	-79.746468
338.475037	-80.464470
339.147949	-81.051315
339.820862	-81.038544
340.493774	-81.265121
341.166687	-81.791946
341.839600	-82.598991
342.512512	-83.177460
343.185425	-84.986908
343.858337	-86.923752
344.531250	-89.028587
345.204163	-89.025520
345.877075	-88.124619
346.549988	-87.147896
347.222900	-86.294876
347.895813	-86.178452
348.568726	-85.942284
349.241638	-85.086853
349.914551	-83.818062
350.587463	-82.347176
351.260376	-81.121452
351.933289	-80.734734
352.606201	-81.532875
353.279114	-82.385612
353.952026	-81.540558
354.624939	-82.139626
355.297852	-82.377991
355.970764	-82.665947
356.643677	-82.137474
357.316589	-81.543289
357.989502	-81.745316
358.662415	-82.923462
359.335327	-82.417587
360.008240	-77.839760
360.681152	-73.824814
361.354065	-78.313667
362.026978	-80.738304
362.699890	-79.497459
363.372803	-80.675430
364.045715	-79.442635
364.718628	-80.060623
365.391541	-80.807152
366.064453	-80.451317
366.737366	-79.322090
367.410278	-78.087601
368.083191	-78.441124
368.756104	-78.273247
369.429016	-78.822731
370.101929	-78.162323
370.774841	-77.405083
371.447754	-77.942711
372.120667	-77.773636
372.793579	-72.707253
373.466492	-68.298820
374.139404	-73.629288
374.812317	-75.572044
375.485229	-72.915314
376.158142	-76.014069
376.831055	-78.315552
377.503967	-78.646408
378.176880	-79.078484
378.849792	-79.498680
379.522705	-79.532066
380.195618	-78.547913
380.868530	-78.093475
381.541443	-79.071159
382.214355	-79.966705
382.887268	-79.305916
383.560181	-79.378433
384.233093	-78.923477
384.906006	-78.982727
385.578918	-78.222801
386.251831	-76.777641
386.924744	-78.187538
387.597656	-79.182732
388.270569	-78.930817
388.943481	-77.336662
389.616394	-79.741264
390.289307	-76.879707
390.962219	-75.864815
391.635132	-78.791702
392.308044	-80.251991
392.980957	-79.662018
393.653870	-79.996429
394.326782	-79.771858
394.999695	-77.569038
